"측정소명","년/월/일","수위(cm)","최고수위(cm)","최저수위(cm)"
"김포시(전류리)","2021/11/06","199.25","",""
"김포시(전류리)","2021/11/05","190.79","",""
"김포시(전류리)","2021/11/04","174.42","",""
"김포시(전류리)","2021/11/03","3","",""
"김포시(전류리)","2021/11/02","122.75","",""
"김포시(전류리)","2021/11/01","103.13","",""
"김포시(전류리)","2021/10/31","75.71","",""
"김포시(전류리)","2021/10/30","61.21","",""
"김포시(전류리)","2021/10/29","71.38","",""
"김포시(전류리)","2021/10/28","78","",""
"김포시(전류리)","2021/10/27","102.29","",""
"김포시(전류리)","2021/10/26","123.92","",""
"김포시(전류리)","2021/10/25","139.25","",""
"김포시(전류리)","2021/10/24","151.92","",""
"김포시(전류리)","2021/10/23","159.17","",""
"김포시(전류리)","2021/10/22","161.67","",""
"김포시(전류리)","2021/10/21","169.58","",""
"김포시(전류리)","2021/10/20","155.58","",""
"김포시(전류리)","2021/10/19","160.04","",""
"김포시(전류리)","2021/10/18","147.5","",""
"김포시(전류리)","2021/10/17","93.79","",""
"김포시(전류리)","2021/10/16","101.83","",""
"김포시(전류리)","2021/10/15","85.96","",""
"김포시(전류리)","2021/10/14","96.79","",""
"김포시(전류리)","2021/10/13","131.46","",""
"김포시(전류리)","2021/10/12","158.38","",""
"김포시(전류리)","2021/10/11","168.88","",""
"김포시(전류리)","2021/10/10","202.42","",""
"김포시(전류리)","2021/10/09","217.13","",""
"김포시(전류리)","2021/10/08","218.33","",""
"김포시(전류리)","2021/10/07","217.21","",""
"김포시(전류리)","2021/10/06","200.54","",""
"김포시(전류리)","2021/10/05","42","",""
"김포시(전류리)","2021/10/04","163.96","",""
"김포시(전류리)","2021/10/03","131.79","",""
"김포시(전류리)","2021/10/02","104.67","",""
"김포시(전류리)","2021/10/01","188","",""
"김포시(전류리)","2021/09/30","236","",""
"김포시(전류리)","2021/09/29","235","",""
"김포시(전류리)","2021/09/28","228","",""
"김포시(전류리)","2021/09/27","219","",""
"김포시(전류리)","2021/09/26","159.33","",""
"김포시(전류리)","2021/09/25","177.63","",""
"김포시(전류리)","2021/09/24","177","",""
"김포시(전류리)","2021/09/23","164","",""
"김포시(전류리)","2021/09/22","217.75","",""
"김포시(전류리)","2021/09/21","213.38","",""
"김포시(전류리)","2021/09/20","183.67","",""
"김포시(전류리)","2021/09/19","163.08","",""
"김포시(전류리)","2021/09/18","144.88","",""
"김포시(전류리)","2021/09/17","61","",""
"김포시(전류리)","2021/09/16","221","",""
"김포시(전류리)","2021/09/15","306","",""
"김포시(전류리)","2021/09/14","320","",""
"김포시(전류리)","2021/09/13","164","",""
"김포시(전류리)","2021/09/12","180.33","",""
"김포시(전류리)","2021/09/11","195.88","",""
"김포시(전류리)","2021/09/10","191","",""
"김포시(전류리)","2021/09/09","159","",""
"김포시(전류리)","2021/09/08","120","",""
"김포시(전류리)","2021/09/07","89","",""
"김포시(전류리)","2021/09/06","51","",""
"김포시(전류리)","2021/09/05","159.33","",""
"김포시(전류리)","2021/09/04","140.71","",""
"김포시(전류리)","2021/09/03","91","",""
"김포시(전류리)","2021/09/02","199","",""
"김포시(전류리)","2021/09/01","262","",""
"김포시(전류리)","2021/08/31","253","",""
"김포시(전류리)","2021/08/30","241","",""
"김포시(전류리)","2021/08/29","134.63","",""
"김포시(전류리)","2021/08/28","151.46","",""
"김포시(전류리)","2021/08/27","211","",""
"김포시(전류리)","2021/08/26","191","",""
"김포시(전류리)","2021/08/25","166","",""
"김포시(전류리)","2021/08/24","141","",""
"김포시(전류리)","2021/08/23","95","",""
"김포시(전류리)","2021/08/22","189.5","",""
"김포시(전류리)","2021/08/21","184.67","",""
"김포시(전류리)","2021/08/20","147.29","",""
"김포시(전류리)","2021/08/19","124","",""
"김포시(전류리)","2021/08/18","180","",""
"김포시(전류리)","2021/08/17","291","",""
"김포시(전류리)","2021/08/16","129.92","",""
"김포시(전류리)","2021/08/15","147.58","",""
"김포시(전류리)","2021/08/14","168.71","",""
"김포시(전류리)","2021/08/13","207","",""
"김포시(전류리)","2021/08/12","183","",""
"김포시(전류리)","2021/08/11","147","",""
"김포시(전류리)","2021/08/10","111","",""
